Neighbourhood,population,population density
Agincourt North,29113,3929
Agincourt South-Malvern West,23757,3034
Alderwood,12054,2435
Annex,30526,10863
Banbury-Don Mills,27695,2775
Bathurst Manor,15873,3377
Bay Street Corridor,25797,14097
Bayview Village,21396,4195
Bayview Woods-Steeles,13154,3240
Bedford Park-Nortown,23236,4209
Beechborough-Greenbrook,6577,3614
Bendale,39960,4011
Birchcliffe-Cliffside,22291,3765
Black Creek,21737,6282
Blake-Jones,7727,8134
Briar Hill - Belgravia,14257,7791
Bridle Path-Sunnybrook-York Mills,9266,1040
Broadview North,11499,6764
Brookhaven-Amesbury,17757,5045
Cabbagetown-South St. James Town,11669,8335
Caledonia-Fairbank,9955,6464
Casa Loma,10968,5683
Centennial Scarborough,13362,2479
Church-Yonge Corridor,31340,23044
Clairlea-Birchmount,26984,3632
Clanton Park,16472,3979
Cliffcrest,15935,2273
Corso Italia-Davenport,14133,7478
Danforth,9666,8554
Danforth-East York,17180,7881
Don Valley Village,27051,6441
Dorset Park,25003,4146
Dovercourt-Wallace Emerson-Junction,36625,9819
Downsview-Roding-CFB,35052,2337
Dufferin Grove,11785,8540
East End-Danforth,21381,8038
Edenbridge-Humber Valley,15535,2840
Eglinton East,22776,7051
Elms-Old Rexdale,9456,3306
Englemount-Lawrence,22372,6466
Eringate-Centennial-West Deane,18588,2171
Etobicoke West Mall,11848,6582
Flemingdon Park,21933,9026
Forest Hill North,12806,8054
Forest Hill South,10732,4380
Glenfield-Jane Heights,30491,5864
Greenwood-Coxwell,14417,8582
Guildwood,9917,2673
Henry Farm,15723,6047
High Park North,22162,11726
High Park-Swansea,23925,4893
Highland Creek,12494,2403
Hillcrest Village,16934,3148
Humber Heights-Westmount,10948,3981
Humber Summit,12416,1570
Humbermede,15545,3565
Humewood-Cedarvale,14365,7682
Ionview,13641,7031
Islington-City Centre West,43964,2712
Junction Area,14366,5442
Keelesdale-Eglinton West,11058,6467
Kennedy Park,17123,4770
Kensington-Chinatown,17945,11806
Kingsview Village-The Westway,22000,4356
Kingsway South,9271,3593
Lambton Baby Point,43993,6144
L'Amoreaux,7985,4697
Lansing-Westgate,16164,3038
Lawrence Park North,14607,6407
Lawrence Park South,15179,4685
Leaside-Bennington,16828,3596
Little Portugal,15559,12859
Long Branch,10084,4584
Malvern,43794,4948
Maple Leaf,10111,4012
Markland Wood,10554,3614
Milliken,26572,2830
Mimico (includes Humber Bay Shores),33964,4915
Morningside,17455,3041
Moss Park,20506,14753
Mount Dennis,13593,6442
Mount Olive-Silverstone-Jamestown,32954,7291
Mount Pleasant East,16775,5411
Mount Pleasant West,29658,21969
New Toronto,11463,3342
Newtonbrook East,16097,3926
Newtonbrook West,23831,5070
Niagara,31180,10156
North Riverdale,11916,6770
North St. James Town,18615,44321
Oakridge,13845,7444
Oakwood Village,21210,9511
O'Connor-Parkview,18675,3780
Old East York,9233,3997
Palmerston-Little Italy,13826,9601
Parkwoods-Donalda,34805,4691
Pelmo Park-Humberlea,10722,2547
Playter Estates-Danforth,7804,8671
Pleasant View,15818,5273
Princess-Rosethorn,11051,2138
Regent Park,10803,16880
Rexdale-Kipling,10529,4229
Rockcliffe-Smythe,22246,4414
Roncesvalles,14974,9851
Rosedale-Moore Park,20923,4500
Rouge,46496,1260
Runnymede-Bloor West Village,10070,6333
Rustic,9941,4734
Scarborough Village,16724,5395
South Parkdale,21849,9583
South Riverdale,27876,3136
St.Andrew-Windfields,17812,2430
Steeles,24623,5436
Stonegate-Queensway,25051,3199
Tam O'Shanter-Sullivan,27446,5073
Taylor-Massey,15683,15528
The Beaches,21567,6058
Thistletown-Beaumond Heights,10360,3130
Thorncliffe Park,21108,6787
Trinity-Bellwoods,16556,9570
University,7607,5395
Victoria Village,17510,3710
Waterfront Communities-The Island,65913,8943
West Hill,27392,2856
West Humber-Clairville,33312,1117
Westminster-Branson,26274,7339
Weston,17992,7197
Weston-Pellam Park,11098,7601
Wexford/Maryvale,11098,7601
Willowdale East,50434,10087
Willowdale West,16936,5820
Willowridge-Martingrove-Richview,22156,4007
Woburn,53485,4345
Woodbine Corridor,12541,7838
Woodbine-Lumsden,7865,6722
Wychwood,14349,8541
Yonge-Eglinton,11817,7162
Yonge-St.Clair,12528,10708
York University Heights,27593,2086
Yorkdale-Glen Park,14804,2451
